Component,Source ,Component Description,URL
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Tribal Education Department Grant Program,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Tribal Education Department Grant Program,"In accordance with the Paperwork Reduction Act of 1995, the Bureau of Indian Education (BIE, we) is proposing to renew an information collection without change.",https://www.federalregister.gov/documents/2026/01/22/2026-01190/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for
Mid-Atlantic Fishery Management Council (MAFMC); Public Meeting,Mid-Atlantic Fishery Management Council (MAFMC); Public Meeting,The Mid-Atlantic Fishery Management Council (Council) will hold public meetings of the Council including a joint session with the Atlantic States Marine Fisheries Commission (ASMFC) Policy Board.,https://www.federalregister.gov/documents/2026/01/22/2026-01189/mid-atlantic-fishery-management-council-mafmc-public-meeting
Clarification of VA's Processing of Survivors Benefits Claims,Clarification of VA's Processing of Survivors Benefits Claims,"The Department of Veterans Affairs (VA) amends its adjudication regulations concerning survivors benefits claims to ensure that VA provides the most beneficial outcome for surviving spouses and children. This final rule clarifies that a surviving spouse or child claimant for either Survivors Pension or dependency and indemnity compensation (DIC) is entitled to the greater benefit. Thus, with respect to claims processing, VA will concurrently deny Survivors Pension and award DIC, except where paying Survivors Pension would be more beneficial to the claimant, which will only be the case if the claimant is the veteran's surviving spouse and the claimant's application indicates that the claimant does not have any dependents, is currently in a nursing home, and has applied for or is currently receiving Medicaid.",https://www.federalregister.gov/documents/2026/01/22/2026-01188/clarification-of-vas-processing-of-survivors-benefits-claims
"Hardwood and Decorative Plywood From the Socialist Republic of Vietnam: Preliminary Affirmative Countervailing Duty Determination, Preliminary Negative Determination of Critical Circumstances, and Alignment of Final Determination With Final Antidumping Duty Determination","Hardwood and Decorative Plywood From the Socialist Republic of Vietnam: Preliminary Affirmative Countervailing Duty Determination, Preliminary Negative Determination of Critical Circumstances, and Alignment of Final Determination With Final Antidumping Duty Determination","The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of hardwood and decorative plywood (plywood) from the Socialist Republic of Vietnam (Vietnam). The period of investigation is January 1, 2024, through December 31, 2024. Interested parties are invited to comment on this preliminary determination.",https://www.federalregister.gov/documents/2026/01/22/2026-01187/hardwood-and-decorative-plywood-from-the-socialist-republic-of-vietnam-preliminary-affirmative
Hardwood and Decorative Plywood From Indonesia: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination With Final Antidumping Duty Determination,Hardwood and Decorative Plywood From Indonesia: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination With Final Antidumping Duty Determination,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of hardwood and decorative plywood (plywood) from Indonesia. The period of investigation is January 1, 2024, through December 31, 2024. Interested parties are invited to comment on this preliminary determination.",https://www.federalregister.gov/documents/2026/01/22/2026-01186/hardwood-and-decorative-plywood-from-indonesia-preliminary-affirmative-countervailing-duty
"Hardwood and Decorative Plywood From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination, Preliminary Affirmative Critical Circumstances Determination, and Alignment of Final Determination With Final Antidumping Duty Determination","Hardwood and Decorative Plywood From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination, Preliminary Affirmative Critical Circumstances Determination, and Alignment of Final Determination With Final Antidumping Duty Determination","The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of hardwood and decorative plywood (plywood) from the People's Republic of China (China). The period of investigation is January 1, 2024, through December 31, 2024. Interested parties are invited to comment on this preliminary determination.",https://www.federalregister.gov/documents/2026/01/22/2026-01185/hardwood-and-decorative-plywood-from-the-peoples-republic-of-china-preliminary-affirmative
Certain Pre-Stretched Synthetic Braiding Hair and Packaging Therefor; Notice of Institution of Formal Enforcement Proceeding,Certain Pre-Stretched Synthetic Braiding Hair and Packaging Therefor; Notice of Institution of Formal Enforcement Proceeding,"Notice is hereby given that the U.S. International Trade Commission has determined to institute a formal enforcement proceeding relating to the limited exclusion order and cease and desist orders (collectively, ""the remedial orders"") issued on September 29, 2025, in the above-referenced investigation, against certain defaulting respondents, including Vivace, Inc. d/b/a Dae Do Inc. (""Vivace"") of Port Washington, NY.",https://www.federalregister.gov/documents/2026/01/22/2026-01184/certain-pre-stretched-synthetic-braiding-hair-and-packaging-therefor-notice-of-institution-of-formal
Airworthiness Directives; Leonardo S.p.A. Helicopters,Airworthiness Directives; Leonardo S.p.A. Helicopters,"The FAA is adopting a new airworthiness directive (AD) for all Leonardo S.p.A. Model AB412 and AB412 EP helicopters. This AD was prompted by a report of a cracked left upper cap angle (cap angle) having a certain part-number. This AD requires repetitively inspecting the cap angle and, depending on the results, performing corrective actions. The FAA is issuing this AD to address the unsafe condition on these products.",https://www.federalregister.gov/documents/2026/01/22/2026-01183/airworthiness-directives-leonardo-spa-helicopters
Airworthiness Directives; PZL-Swidnik S.A. Helicopters,Airworthiness Directives; PZL-Swidnik S.A. Helicopters,"The FAA is adopting a new airworthiness directive (AD) for certain PZL-Swidnik S.A. (Swidnik) Model PZL W-3A helicopters. This AD was prompted by the detection of corrosion on the main rotor blade (MRB) attachment bolts. This AD requires repetitively inspecting the MRB attachment bolts and, depending on the results of the inspection, repairing or replacing any affected bolts. This AD also requires reporting the inspection results and prohibits installing any MRB attachment bolt unless certain requirements are met. The FAA is issuing this AD to address the unsafe condition on these products.",https://www.federalregister.gov/documents/2026/01/22/2026-01182/airworthiness-directives-pzl-swidnik-sa-helicopters
Agency Information Collection Activities; Water Request,Agency Information Collection Activities; Water Request,"In accordance with the Paperwork Reduction Act of 1995, the Bureau of Indian Affairs (BIA, we) is proposing to renew an information collection without change.",https://www.federalregister.gov/documents/2026/01/22/2026-01181/agency-information-collection-activities-water-request
Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters,Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters,"The FAA is adopting a new airworthiness directive (AD) for all Airbus Helicopters Deutschland GmbH (AHD) Model EC135P1, EC135P2, EC135P2+, EC135P3, EC135T1, EC135T2, EC135T2+, EC635T2+, and EC135T3 helicopters. This AD was prompted by reports of ruptured and deformed flexible couplings. This AD requires inspecting the axial displacement of the tail rotor drive shaft and, depending on the results, taking corrective actions including inspecting the flexible couplings. This AD also prohibits installing a tail rotor drive shaft unless certain procedures are followed. The FAA is issuing this AD to address the unsafe condition on these products.",https://www.federalregister.gov/documents/2026/01/22/2026-01180/airworthiness-directives-airbus-helicopters-deutschland-gmbh-helicopters
Agency Information Collection Activities; Education Contracts Under the Johnson-O'Malley Act,Agency Information Collection Activities; Education Contracts Under the Johnson-O'Malley Act,"In accordance with the Paperwork Reduction Act of 1995, the Bureau of Indian Education (BIE, we) proposes to renew an information collection without change.",https://www.federalregister.gov/documents/2026/01/22/2026-01179/agency-information-collection-activities-education-contracts-under-the-johnson-omalley-act
Reimbursement Rates for Calendar Year 2026,Reimbursement Rates for Calendar Year 2026,"Notice is provided that the Chief of Staff, who has the Delegated Authority of the Indian Health Service (IHS) Director has approved the rates for inpatient and outpatient medical care provided by the IHS facilities for Calendar Year 2026.",https://www.federalregister.gov/documents/2026/01/22/2026-01178/reimbursement-rates-for-calendar-year-2026
Polypropylene Corrugated Boxes From the People's Republic of China: Final Affirmative Countervailing Duty Determination,Polypropylene Corrugated Boxes From the People's Republic of China: Final Affirmative Countervailing Duty Determination,"The U.S. Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of polypropylene corrugated boxes (corrugated boxes) from the People's Republic of China (China). The period of investigation is January 1, 2024, through December 31, 2024.",https://www.federalregister.gov/documents/2026/01/22/2026-01177/polypropylene-corrugated-boxes-from-the-peoples-republic-of-china-final-affirmative-countervailing
Polypropylene Corrugated Boxes From the People's Republic of China: Final Affirmative Determination of Sales at Less Than Fair Value,Polypropylene Corrugated Boxes From the People's Republic of China: Final Affirmative Determination of Sales at Less Than Fair Value,"The U.S. Department of Commerce (Commerce) determines that polypropylene corrugated boxes (corrugated boxes) from the People's Republic of China (China) are being, or is likely to be, sold in the United States at less-than-fair-value (LTFV). The period of investigation (POI) is July 1, 2024, through December 31, 2024.",https://www.federalregister.gov/documents/2026/01/22/2026-01176/polypropylene-corrugated-boxes-from-the-peoples-republic-of-china-final-affirmative-determination-of
Quarterly IRS Interest Rates Used in Calculating Interest on Overdue Accounts and Refunds of Customs Duties,Quarterly IRS Interest Rates Used in Calculating Interest on Overdue Accounts and Refunds of Customs Duties,"This notice advises the public that the quarterly Internal Revenue Service interest rates used to calculate interest on overdue accounts (underpayments) and refunds (overpayments) of customs duties will remain the same as the previous quarter. For the calendar quarter beginning January 1, 2026, the interest rates for underpayments will be 7 percent for both corporations and non-corporations. The interest rate for overpayments will be 7 percent for non-corporations and 6 percent for corporations. This notice is published for the convenience of the importing public and U.S. Customs and Border Protection personnel.",https://www.federalregister.gov/documents/2026/01/22/2026-01175/quarterly-irs-interest-rates-used-in-calculating-interest-on-overdue-accounts-and-refunds-of-customs
New Postal Products,New Postal Products,"The Commission is noticing a recent Postal Service filing for the Commission's consideration concerning a negotiated service agreement. This notice informs the public of the filing, invites public comment, and takes other administrative steps.",https://www.federalregister.gov/documents/2026/01/22/2026-01174/new-postal-products
"Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Marine Recreational Information Program, Access-Point Angler Intercept Survey (APAIS)","Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Marine Recreational Information Program, Access-Point Angler Intercept Survey (APAIS)","The Department of Commerce, in accordance with the Paperwork Reduction Act of 1995 (PRA), invites the general public and other Federal agencies to comment on proposed, and continuing information collections, which helps us assess the impact of our information collection requirements and minimize the public's reporting burden. The purpose of this notice is to allow for 60 days of public comment preceding submission of the collection to OMB.",https://www.federalregister.gov/documents/2026/01/22/2026-01173/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for
"Amendment of Class D and Class E4 Airspace Over Wilkes-Barre, PA","Amendment of Class D and Class E4 Airspace Over Wilkes-Barre, PA","This action amends Class D and Class E4 airspace at Wilkes- Barre/Scranton International Airport, Wilkes-Barre, PA, due to the currently designated airspace not properly containing instrument flight rule (IFR) operations, which require controlled airspace. This action also updates the geographic coordinates of the airport and language related to the hours of operation of the air traffic control tower within the airspace legal descriptions.",https://www.federalregister.gov/documents/2026/01/22/2026-01172/amendment-of-class-d-and-class-e4-airspace-over-wilkes-barre-pa
"Amendment of Class D and Class E Airspace; Ashland, Bucyrus, and Mansfield, OH","Amendment of Class D and Class E Airspace; Ashland, Bucyrus, and Mansfield, OH","This action amends the Class D and Class E airspace at Mansfield, OH; and the Class E airspace at Ashland and Bucyrus, OH. The name of the Mansfield Lahm Regional Airport, Mansfield, OH; the name and geographic coordinates of the University Hospitals Samaritan Medical Center Heliport, Ashland, OH, and Port Bucyrus/Crawford County Airport, Bucyrus, OH, are also being updated to coincide with the FAA's aeronautical database. This action is the result of airspace reviews conducted due to the decommissioning of the Mansfield very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. This action brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) procedures and operations.",https://www.federalregister.gov/documents/2026/01/22/2026-01171/amendment-of-class-d-and-class-e-airspace-ashland-bucyrus-and-mansfield-oh
"Amendment of Class E Airspace; New Lexington, OH","Amendment of Class E Airspace; New Lexington, OH","This action amends the Class E airspace at New Lexington, OH. The name and geographic coordinates of Ed Newlon Field, New Lexington, OH, are also being updated to coincide with the FAA's aeronautical database. This action is the result of an airspace review conducted due to the decommissioning of the Zanesville very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. It brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) procedures and operations.",https://www.federalregister.gov/documents/2026/01/22/2026-01170/amendment-of-class-e-airspace-new-lexington-oh
"National Heart, Lung, and Blood Institute; Notice of Meeting","National Heart, Lung, and Blood Institute; Notice of Meeting",,https://www.federalregister.gov/documents/2026/01/22/2026-01169/national-heart-lung-and-blood-institute-notice-of-meeting
"Safety Zone; Rocket Test Site, Rio Grande River, Boca Chica, TX","Safety Zone; Rocket Test Site, Rio Grande River, Boca Chica, TX","The Coast Guard is establishing a temporary safety zone for navigable waters of the Rio Grande River. The safety zone is needed to protect personnel, vessels, and the marine environment from potential hazards created by cryogenics and structural tests of SpaceX rockets at their Massey's test site. This proposed rulemaking would prohibit persons and vessels from being in the safety zone unless specifically authorized by the Captain of the Port, Sector Corpus Christi. We invite your comments on this proposed rulemaking.",https://www.federalregister.gov/documents/2026/01/22/2026-01168/safety-zone-rocket-test-site-rio-grande-river-boca-chica-tx
Enhanced Air Cargo Advance Screening (ACAS); Corrections,Enhanced Air Cargo Advance Screening (ACAS); Corrections,"U.S. Customs and Border Protection (CBP) is restoring the specific authority citations originally found in parts 103 and 122 of title 19 of the Code of Federal Regulations which were erroneously removed following the publication of the Enhanced Air Cargo Advance Screening (ACAS) interim final rule on November 21, 2025.",https://www.federalregister.gov/documents/2026/01/22/2026-01167/enhanced-air-cargo-advance-screening-acas-corrections
"TTC Connector, LLC; Notice of Availability of the Environmental Assessment for the Proposed TTC Connector Project","TTC Connector, LLC; Notice of Availability of the Environmental Assessment for the Proposed TTC Connector Project",,https://www.federalregister.gov/documents/2026/01/22/2026-01166/ttc-connector-llc-notice-of-availability-of-the-environmental-assessment-for-the-proposed-ttc
NorthWestern Energy; Notice of Authorization for Continued Project Operation,NorthWestern Energy; Notice of Authorization for Continued Project Operation,,https://www.federalregister.gov/documents/2026/01/22/2026-01165/northwestern-energy-notice-of-authorization-for-continued-project-operation
"Columbia Gas Transmission, LLC; Notice of Request Under Blanket Authorization and Establishing Intervention and Protest Deadline","Columbia Gas Transmission, LLC; Notice of Request Under Blanket Authorization and Establishing Intervention and Protest Deadline",,https://www.federalregister.gov/documents/2026/01/22/2026-01164/columbia-gas-transmission-llc-notice-of-request-under-blanket-authorization-and-establishing
Triton Power Company; Notice of Authorization for Continued Project Operation,Triton Power Company; Notice of Authorization for Continued Project Operation,,https://www.federalregister.gov/documents/2026/01/22/2026-01163/triton-power-company-notice-of-authorization-for-continued-project-operation
Submission for OMB Review; Comments Request,Submission for OMB Review; Comments Request,"Under the provisions of the Paperwork Reduction Act, agencies are required to publish a Notice in the Federal Register notifying the public that the agency is renewing an existing information collection for OMB review and approval and requests public review and comment on the submission. Comments are being solicited on the need for the information; the accuracy of the burden estimate; the quality, practical utility, and clarity of the information to be collected; and ways to minimize reporting the burden, including automated collected techniques and uses of other forms of technology.",https://www.federalregister.gov/documents/2026/01/22/2026-01162/submission-for-omb-review-comments-request
Notice of Intent To Seek Approval To Renewal an Information Collection; Correction,Notice of Intent To Seek Approval To Renewal an Information Collection; Correction,"In accordance with the Paperwork Reduction Act of 1995, this notice announces the intention of the National Agricultural Statistics Service (NASS) to request revision and extension of a currently approved information collection, Objective Yield Surveys.",https://www.federalregister.gov/documents/2026/01/22/2026-01161/notice-of-intent-to-seek-approval-to-renewal-an-information-collection-correction
Procurement List; Additions,Procurement List; Additions,This action adds service(s) to the Procurement List that will be furnished by nonprofit agencies employing persons who are blind or have other severe disabilities.,https://www.federalregister.gov/documents/2026/01/22/2026-01160/procurement-list-additions
FDA Records Access Authority for Cosmetics; Draft Guidance for Industry; Availability,FDA Records Access Authority for Cosmetics; Draft Guidance for Industry; Availability,"The Food and Drug Administration (FDA, Agency, or we) is announcing the availability of a draft document entitled ""FDA Records Access Authority for Cosmetics: Guidance for Industry."" The draft guidance document provides answers to frequently asked questions about certain authorities for FDA to access records related to cosmetic products. It is intended to inform regulated industry about the Agency's current thinking regarding the criteria, process, and expectations for FDA's access to these records.",https://www.federalregister.gov/documents/2026/01/22/2026-01159/fda-records-access-authority-for-cosmetics-draft-guidance-for-industry-availability
Medical Review Board; Membership,Medical Review Board; Membership,"The Department solicits nominations for membership to serve on the Medical Review Board (MRB). MRB will provide scientific advice to the Secretary of Transportation (the Secretary) through the Administrator of FMCSA on medical issues, including the physical qualification requirements for commercial motor vehicle (CMV) operators.",https://www.federalregister.gov/documents/2026/01/22/2026-01158/medical-review-board-membership
Fresh Mushrooms From Canada,Fresh Mushrooms From Canada,,https://www.federalregister.gov/documents/2026/01/22/2026-01157/fresh-mushrooms-from-canada
Motor Carrier Safety Advisory Committee; Membership,Motor Carrier Safety Advisory Committee; Membership,"The Department solicits nominations for membership to serve on the Motor Carrier Safety Advisory Committee (MCSAC). MCSAC provides advice and recommendations to the Secretary of Transportation (the Secretary) through the Administrator of FMCSA about needs, objectives, plans, approaches, content, and accomplishments of the motor carrier safety programs carried out by the Administration and motor carrier safety regulations.",https://www.federalregister.gov/documents/2026/01/22/2026-01156/motor-carrier-safety-advisory-committee-membership
"Self-Regulatory Organizations; Nasdaq ISE, LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend FINRA Fees","Self-Regulatory Organizations; Nasdaq ISE, LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend FINRA Fees",,https://www.federalregister.gov/documents/2026/01/22/2026-01155/self-regulatory-organizations-nasdaq-ise-llc-notice-of-filing-and-immediate-effectiveness-of
"Social Security Ruling, SSR 26-1p; Title XVI: Determining Continuing Disability at Steps 2 and 3 of the Medical Improvement Review Standard Sequential Evaluation Process for Children Under Age 18-Functional Equivalence","Social Security Ruling, SSR 26-1p; Title XVI: Determining Continuing Disability at Steps 2 and 3 of the Medical Improvement Review Standard Sequential Evaluation Process for Children Under Age 18-Functional Equivalence",We are providing notice of SSR 26-1p. This SSR simplifies our process for determining continuing disability at steps 2 and 3 of the medical improvement review standard for children under age 18 who receive Supplemental Security Income (SSI) under title XVI of the Social Security Act.,https://www.federalregister.gov/documents/2026/01/22/2026-01154/social-security-ruling-ssr-26-1p-title-xvi-determining-continuing-disability-at-steps-2-and-3-of-the
"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Claim for Relocation Payments-Residential, DI-381 and Claim for Relocation Payments-Nonresidential, DI-382","Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Claim for Relocation Payments-Residential, DI-381 and Claim for Relocation Payments-Nonresidential, DI-382","In accordance with the Paperwork Reduction Act of 1995, we, the Office of Acquisition and Property Management, are proposing to renew an information collection without change.",https://www.federalregister.gov/documents/2026/01/22/2026-01153/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for
"Airworthiness Directives; CFM International, S.A. Engines","Airworthiness Directives; CFM International, S.A. Engines","The FAA is adopting a new airworthiness directive (AD) for certain CFM International, S.A. (CFM) Model LEAP-1A23, LEAP-1A24, LEAP- 1A24E1, LEAP-1A26, LEAP-1A26CJ, LEAP-1A26E1, LEAP-1A29, LEAP-1A29CJ, LEAP-1A30, LEAP-1A32, LEAP-1A33, LEAP-1A33B2, and LEAP-1A35A engines. This AD was prompted by a report of multiple aborted takeoffs and air turn-backs (ATBs) caused by high-pressure compressor (HPC) stall, which was induced by high levels of non-synchronous vibration (NSV). Additional manufacturer investigation revealed that wear on the No. 3 bearing spring finger housing can lead to high levels of NSV. This AD requires initial and repetitive calculations of the levels of NSV, inspection of the stage 2 high-pressure turbine (HPT) nozzle assembly honeycomb and HPT stator stationary seal honeycomb and, depending on the results of the calculations and inspections, replacement of certain parts. This AD also requires replacement of certain No. 3 bearing spring finger housings at the next shop visit. The FAA is issuing this AD to address the unsafe condition on these products.",https://www.federalregister.gov/documents/2026/01/22/2026-01152/airworthiness-directives-cfm-international-sa-engines
"Virginia Electric and Power Company; North Anna Power Station, Units 1 and 2; Surry Power Station, Units 1 and 2; Withdrawal by Applicant","Virginia Electric and Power Company; North Anna Power Station, Units 1 and 2; Surry Power Station, Units 1 and 2; Withdrawal by Applicant","The U.S. Nuclear Regulatory Commission (NRC) is announcing the withdrawal of a license amendment application from Virginia Electric Power Company (the licensee), dated May 16, 2025, for a proposed amendment to North Anna Power Station, Units 1 and 2, and Surry Power Station, Units 1 and 2, License Nos. NPF-4 and NPF-7, and DPR-32 and DPR-37. The proposed amendment would have updated the Main Steam Line Break Alternate Source Term dose consequence analysis for both sites.",https://www.federalregister.gov/documents/2026/01/22/2026-01151/virginia-electric-and-power-company-north-anna-power-station-units-1-and-2-surry-power-station-units
"Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; Emergency Action to Temporarily Increase 2026 Harvest Specifications and Sector Allocations for Shortspine Thornyhead, Canary Rockfish, and Petrale Sole","Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; Emergency Action to Temporarily Increase 2026 Harvest Specifications and Sector Allocations for Shortspine Thornyhead, Canary Rockfish, and Petrale Sole","This emergency rule temporarily increases 2026 harvest specifications and sector allocations for shortspine thornyhead, canary rockfish, and petrale sole in the Pacific Coast groundfish fishery. This increase in harvest specifications is based on new, recently discovered information from the latest catch-only projections, which show a higher biomass of these species available for harvest than determined by stock assessments used to set the 2025-26 harvest specifications and management measures. This action is necessary to alleviate significant direct economic loss caused by restrictive annual catch limits for these species.",https://www.federalregister.gov/documents/2026/01/22/2026-01150/fisheries-off-west-coast-states-pacific-coast-groundfish-fishery-emergency-action-to-temporarily
Agency Information Collection Activities: Requests for Comments; Clearance of a New Approval of Information Collection: Formal Complaints Collection,Agency Information Collection Activities: Requests for Comments; Clearance of a New Approval of Information Collection: Formal Complaints Collection,"In accordance with the Paperwork Reduction Act of 1995, FAA invites public comments about our intention to request the Office of Management and Budget (OMB) approval to renew an information collection. The Federal Register Notice with a 60-day comment period soliciting comments on the following collection of information was published on July 21, 2025. The collection involves the filing of a complaint with the FAA alleging a violation of any requirement, rule, regulation, or order issued under certain statutes within the jurisdiction of the FAA. The FAA will use the information collected to determine if the alleged violation warrants investigation or action.",https://www.federalregister.gov/documents/2026/01/22/2026-01149/agency-information-collection-activities-requests-for-comments-clearance-of-a-new-approval-of
Sunshine Act Meetings,Sunshine Act Meetings,,https://www.federalregister.gov/documents/2026/01/22/2026-01148/sunshine-act-meetings
